Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 📚,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
8/21/2024,8/24/2024,12,12.0,12.0,elinas/Chronos-Gold-12B-1.0,https://huggingface.co/elinas/Chronos-Gold-12B-1.0,35.79,9.090909091,2.153218377,38.3,6.0,22.1,58.9,53.7,0.299,0.367,0.10,6.23,8.25,1.21,0.117,2.47,0.08,1.25,0
4/24/2024,,34,34.0,34.0,MarinaraSpaghetti/RP-Stew-v2.5-34B,https://huggingface.co/MarinaraSpaghetti/RP-Stew-v2.5-34B,35.63,7.272727273,2.909656793,35.8,20.4,29.6,38.7,53.7,0.257,0.231,0.30,8.12,9.29,1.29,0.015,2.93,-0.37,0.95,0
9/6/2024,9/6/2024,70,70.0,70.0,mattshumer/Reflection-Llama-3.1-70B,https://huggingface.co/mattshumer/Reflection-Llama-3.1-70B,35.55,2.727272727,5.215675055,26.7,60.5,26.5,38.5,25.7,0.156,0.371,0.05,5.68,9.26,1.49,0.065,2.73,-0.04,1.19,0
7/29/2024,8/1/2024,21,21.0,21.0,BeaverAI/NeMoist-21B-v0.5,https://huggingface.co/BeaverAI/NeMoist-21B-v0.5,35.55,8.181818182,1.891858234,45.0,15.8,32.7,38.2,46.0,0.154,0.210,0.10,7.58,6.16,1.94,0.083,2.67,-0.01,1.58,0
8/15/2024,8/15/2024,12,12.0,12.0,anthracite-org/magnum-12b-v2.5-kto,https://huggingface.co/anthracite-org/magnum-12b-v2.5-kto,35.51,8.181818182,2.164329488,38.3,10.2,17.7,59.3,52.0,0.335,0.306,0.35,6.11,7.73,1.72,0.117,2.47,0.08,1.25,0
7/26/2024,9/14/2024,12,12.0,12.0,invisietch/Atlantis-v0.1-12B,https://huggingface.co/invisietch/Atlantis-v0.1-12B,35.48,8.181818182,1.891858234,61.7,5.6,35.8,47.3,27.0,0.158,0.171,0.15,8.56,7.42,1.87,0.032,2.40,-0.21,0.57,0
3/10/2024,,70,70.0,70.0,abideen/Liberated-Miqu-70B,https://huggingface.co/abideen/Liberated-Miqu-70B,35.41,4.545454545,4.264329488,37.5,56.9,40.4,27.9,14.3,0.176,0.331,0.20,9.23,8.29,1.56,0.190,1.87,0.07,0.89,0
8/7/2024,8/13/2024,70,70.0,70.0,nothingiisreal/L3.1-70B-Celeste-V0.1-BF16,https://huggingface.co/nothingiisreal/L3.1-70B-Celeste-V0.1-BF16,35.39,3.636363636,3.944444444,37.5,55.5,24.8,36.5,22.7,0.062,0.262,0.00,8.63,5.71,1.99,0.000,NA,NA,NA,0
8/12/2024,9/15/2024,12,12.0,12.0,nbeerbower/mistral-nemo-wissenschaft-12B,https://huggingface.co/nbeerbower/mistral-nemo-wissenschaft-12B,35.17,8.181818182,2.269636012,53.3,22.1,33.8,38.6,28.0,0.215,0.237,0.20,5.01,5.34,1.92,0.129,2.40,0.09,1.26,0
8/23/2024,8/24/2024,12,12.0,12.0,nbeerbower/Lyra-Gutenberg-mistral-nemo-12B,https://huggingface.co/nbeerbower/Lyra-Gutenberg-mistral-nemo-12B,35.15,8.181818182,1.340143967,52.5,7.0,19.0,45.3,52.0,0.352,0.305,0.35,6.03,7.70,1.57,0.133,2.13,-0.01,1.12,0
6/19/2024,,8,8.0,8.0,invisietch/EtherealRainbow-v0.3-8B,https://huggingface.co/invisietch/EtherealRainbow-v0.3-8B,35.10,7.272727273,2.06680813,38.3,18.3,30.1,33.0,55.7,0.222,0.225,0.20,8.19,7.98,1.42,0.094,2.60,0.12,0.88,0
7/28/2024,7/30/2024,27,27.0,27.0,TheDrummer/Gemmasutra-Pro-27B-v1,https://huggingface.co/TheDrummer/Gemmasutra-Pro-27B-v1,35.08,5.454545455,2.739714176,52.5,31.9,30.8,45.8,14.3,0.364,0.308,0.45,5.86,6.65,1.70,0.066,2.47,-0.17,1.61,0
8/6/2024,8/8/2024,21,21.0,21.0,TheDrummer/Theia-21B-v1,https://huggingface.co/TheDrummer/Theia-21B-v1,35.03,9.090909091,1.05604568,45.0,15.9,22.4,48.8,43.0,0.195,0.211,0.15,4.75,6.33,1.60,0.072,2.40,-0.15,1.31,0
7/21/2024,9/6/2024,9,9.0,9.0,IlyaGusev/gemma-2-9b-it-abliterated,https://huggingface.co/IlyaGusev/gemma-2-9b-it-abliterated,34.92,6.363636364,1.641974547,65.8,30.0,34.7,41.1,3.0,0.160,0.270,0.05,7.11,9.95,1.86,0.036,2.60,-0.19,0.81,0
6/9/2024,,8,8.0,8.0,bluuwhale/L3-SthenoMaid-8B-V1,https://huggingface.co/bluuwhale/L3-SthenoMaid-8B-V1,34.83,9.090909091,1.240143967,43.3,28.3,31.3,37.8,33.3,0.141,0.183,0.10,8.15,8.06,1.87,0.051,2.73,-0.01,0.79,0
8/23/2024,8/24/2024,12,12.0,12.0,nbeerbower/Gutensuppe-mistral-nemo-12B,https://huggingface.co/nbeerbower/Gutensuppe-mistral-nemo-12B,34.82,8.181818182,2.6734773,35.0,6.5,44.0,42.5,46.0,0.158,0.211,0.10,6.73,6.70,1.60,0.137,2.40,0.11,1.26,0
8/14/2024,8/15/2024,12,12.0,12.0,MarinaraSpaghetti/NemoReRemix-12B,https://huggingface.co/MarinaraSpaghetti/NemoReRemix-12B,34.74,9.090909091,1.706470288,35.0,13.8,20.1,52.8,52.0,0.155,0.232,0.10,6.48,7.87,1.73,0.035,2.93,-0.19,1.61,0
